Dataset,DNN,CMR,FR(%)
MNIST,MNIST_AlexNet_9938,1206,1.24
MNIST,MNIST_AlexNet_9938,1230,0.3
MNIST,MNIST_AlexNet_9938,1234,2.8000000000000003
MNIST,MNIST_AlexNet_9938,1235,0.53
MNIST,MNIST_AlexNet_9938,1236,0.65
MNIST,MNIST_AlexNet_9938,1240,2.12
MNIST,MNIST_AlexNet_9938,1243,2.73
MNIST,MNIST_AlexNet_9938,1245,2.7
MNIST,MNIST_AlexNet_9938,1246,2.85
MNIST,MNIST_AlexNet_9938,1250,0.6799999999999999
MNIST,MNIST_AlexNet_9938,1253,0.48
MNIST,MNIST_AlexNet_9938,1254,2.6599999999999997
MNIST,MNIST_AlexNet_9938,1256,2.32
MNIST,MNIST_AlexNet_9938,1260,1.11
MNIST,MNIST_AlexNet_9938,1263,0.53
MNIST,MNIST_AlexNet_9938,1264,2.83
MNIST,MNIST_AlexNet_9938,1265,2.32
MNIST,MNIST_AlexNet_9938,1302,0.29
MNIST,MNIST_AlexNet_9938,1304,2.32
MNIST,MNIST_AlexNet_9938,1305,0.42
MNIST,MNIST_AlexNet_9938,1306,0.67
MNIST,MNIST_AlexNet_9938,1320,0.31
MNIST,MNIST_AlexNet_9938,1324,2.63
MNIST,MNIST_AlexNet_9938,1325,0.5499999999999999
MNIST,MNIST_AlexNet_9938,1326,0.61
MNIST,MNIST_AlexNet_9938,1340,2.52
MNIST,MNIST_AlexNet_9938,1342,2.78
MNIST,MNIST_AlexNet_9938,1345,2.9899999999999998
MNIST,MNIST_AlexNet_9938,1346,3.2
MNIST,MNIST_AlexNet_9938,1350,0.42
MNIST,MNIST_AlexNet_9938,1352,0.54
MNIST,MNIST_AlexNet_9938,1354,2.86
MNIST,MNIST_AlexNet_9938,1356,0.8699999999999999
MNIST,MNIST_AlexNet_9938,1360,0.5599999999999999
MNIST,MNIST_AlexNet_9938,1362,0.66
MNIST,MNIST_AlexNet_9938,1364,2.77
MNIST,MNIST_AlexNet_9938,1365,0.77
MNIST,MNIST_AlexNet_9938,1402,2.1
MNIST,MNIST_AlexNet_9938,1403,2.21
MNIST,MNIST_AlexNet_9938,1405,2.23
MNIST,MNIST_AlexNet_9938,1406,2.5700000000000003
MNIST,MNIST_AlexNet_9938,1420,2.11
MNIST,MNIST_AlexNet_9938,1423,2.82
MNIST,MNIST_AlexNet_9938,1425,2.69
MNIST,MNIST_AlexNet_9938,1426,2.85
MNIST,MNIST_AlexNet_9938,1430,2.44
MNIST,MNIST_AlexNet_9938,1432,2.62
MNIST,MNIST_AlexNet_9938,1435,2.92
MNIST,MNIST_AlexNet_9938,1436,3.18
MNIST,MNIST_AlexNet_9938,1450,2.21
MNIST,MNIST_AlexNet_9938,1452,2.69
MNIST,MNIST_AlexNet_9938,1453,2.4
MNIST,MNIST_AlexNet_9938,1456,3.6900000000000004
MNIST,MNIST_AlexNet_9938,1460,2.45
MNIST,MNIST_AlexNet_9938,1462,2.8400000000000003
MNIST,MNIST_AlexNet_9938,1463,2.2800000000000002
MNIST,MNIST_AlexNet_9938,1465,3.74
MNIST,MNIST_AlexNet_9938,1502,0.69
MNIST,MNIST_AlexNet_9938,1503,0.35000000000000003
MNIST,MNIST_AlexNet_9938,1504,2.18
MNIST,MNIST_AlexNet_9938,1506,2.33
MNIST,MNIST_AlexNet_9938,1520,0.6799999999999999
MNIST,MNIST_AlexNet_9938,1523,0.51
MNIST,MNIST_AlexNet_9938,1524,2.64
MNIST,MNIST_AlexNet_9938,1526,2.36
MNIST,MNIST_AlexNet_9938,1530,0.38
MNIST,MNIST_AlexNet_9938,1532,0.52
MNIST,MNIST_AlexNet_9938,1534,2.29
MNIST,MNIST_AlexNet_9938,1536,0.7799999999999999
MNIST,MNIST_AlexNet_9938,1540,2.22
MNIST,MNIST_AlexNet_9938,1542,2.62
MNIST,MNIST_AlexNet_9938,1543,2.44
MNIST,MNIST_AlexNet_9938,1546,3.6799999999999997
MNIST,MNIST_AlexNet_9938,1560,2.0
MNIST,MNIST_AlexNet_9938,1562,2.32
MNIST,MNIST_AlexNet_9938,1563,0.5499999999999999
MNIST,MNIST_AlexNet_9938,1564,3.6900000000000004
MNIST,MNIST_AlexNet_9938,1602,1.09
MNIST,MNIST_AlexNet_9938,1603,0.45999999999999996
MNIST,MNIST_AlexNet_9938,1604,2.44
MNIST,MNIST_AlexNet_9938,1605,2.29
MNIST,MNIST_AlexNet_9938,1620,1.11
MNIST,MNIST_AlexNet_9938,1623,0.5499999999999999
MNIST,MNIST_AlexNet_9938,1624,2.8400000000000003
MNIST,MNIST_AlexNet_9938,1625,2.29
MNIST,MNIST_AlexNet_9938,1630,0.51
MNIST,MNIST_AlexNet_9938,1632,0.5700000000000001
MNIST,MNIST_AlexNet_9938,1634,2.31
MNIST,MNIST_AlexNet_9938,1635,0.69
MNIST,MNIST_AlexNet_9938,1640,2.48
MNIST,MNIST_AlexNet_9938,1642,2.87
MNIST,MNIST_AlexNet_9938,1643,2.18
MNIST,MNIST_AlexNet_9938,1645,3.6700000000000004
MNIST,MNIST_AlexNet_9938,1650,2.29
MNIST,MNIST_AlexNet_9938,1652,2.3
MNIST,MNIST_AlexNet_9938,1653,0.52
MNIST,MNIST_AlexNet_9938,1654,3.71
MNIST,MNIST_AlexNet_9938,2013,0.3
MNIST,MNIST_AlexNet_9938,2014,2.08
MNIST,MNIST_AlexNet_9938,2015,0.73
MNIST,MNIST_AlexNet_9938,2016,1.24
MNIST,MNIST_AlexNet_9938,2031,0.27999999999999997
MNIST,MNIST_AlexNet_9938,2034,0.44
